1212                |Englisch für Tourismus 3|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|9.345
1212                |Englisch für Tourismus 3|20192|2019-09-17|\N|15:15|16:45|Di|wöchentlich|9.341
1212                |Englisch für Tourismus 3|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|9.345
2110                |Englisch für Tourismus 5|20192|2019-09-17|\N|17:00|18:30|Di|wöchentlich|9.343
2110                |Englisch für Tourismus 5|20192|2019-09-17|\N|15:15|16:45|Di|wöchentlich|9.343
\N|e Sports|20192|2019-09-17|2019-09-17|17:00|23:00|Di|Einzeltermin|4.016
133                 |E-Tourism|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|4.007
10004               |Europa|20192|2019-09-17|\N|11:45|13:15|Di|wöchentlich|N113
10004               |Europa|20192|2019-09-17|\N|08:00|11:15|Di|wöchentlich|N113
2313                |Französisch 5 - 6.Sem.|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|9.341
\N|Französisch Conversation (B1)|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|9.341
\N|Französisch Stufe 1 ( A0-A2) fakultativ|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|9.341
2139                |Fremdsprache II (Spanisch)|20192|2019-09-17|\N|13:30|15:00|Di|wöchentlich|\N
151                 |Führung|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|2.106
6666                |Gesundheitstourismus (REGIO)|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.113
10013               |Grundlagen des Rechts|20192|2019-09-17|\N|15:30|18:45|Di|wöchentlich|N113
5926_V              |H1-Arbeits- und Organisationspsychologie|20192|2019-09-17|2019-12-17|08:00|09:30|Di|wöchentlich|4.102
652_V               |H1-Compliance|20192|2019-09-17|2019-12-17|17:00|18:30|Di|wöchentlich|4.007
7538_V              |H1-Controlling|20192|2019-09-17|2019-12-17|15:15|16:45|Di|wöchentlich|\N
10508_V             |H1-Einführung in das öffentliche Recht|20192|2019-09-17|2019-12-17|09:45|11:15|Di|wöchentlich|S202
10508_V             |H1-Einführung in das öffentliche Recht|20192|2019-09-17|2019-12-17|11:45|13:15|Di|wöchentlich|S202
10508_V             |H1-Einführung in das öffentliche Recht|20192|2019-09-17|2019-12-17|09:45|11:15|Di|wöchentlich|S202
10508_V             |H1-Einführung in das öffentliche Recht|20192|2019-09-17|2019-12-17|11:45|13:15|Di|wöchentlich|S202
10508_V             |H1-Einführung in das öffentliche Recht|20192|2019-09-17|2019-09-17|13:45|17:00|Di|Einzeltermin|S202
10508_V             |H1-Einführung in das öffentliche Recht|20192|2019-09-17|2019-12-17|09:45|11:15|Di|wöchentlich|S202
10508_V             |H1-Einführung in das öffentliche Recht|20192|2019-09-17|2019-09-17|13:45|17:00|Di|Einzeltermin|S202
10508_V             |H1-Einführung in das öffentliche Recht|20192|2019-09-17|2019-09-17|13:45|17:00|Di|Einzeltermin|S202
10508_V             |H1-Einführung in das öffentliche Recht|20192|2019-09-17|2019-12-17|11:45|13:15|Di|wöchentlich|S202
2555_V              |H1-Engineering Project|20192|2019-09-17|2019-12-17|11:30|13:00|Di|wöchentlich|5.102
2555_V              |H1-Engineering Project|20192|2019-09-17|2019-12-17|09:45|11:15|Di|wöchentlich|5.102
2554_V              |H1-Introduction to Industry 4.0 (lab)|20192|2019-09-17|2019-12-17|13:30|16:45|Di|wöchentlich|5.05
2554_V              |H1-Introduction to Industry 4.0 (lab)|20192|2019-09-17|2019-12-17|13:30|16:45|Di|wöchentlich|5.05
2553_V              |H1-Introduction to Industry 4.0 (lecture)|20192|2019-09-17|2019-12-17|13:30|15:00|Di|wöchentlich|3.101
2553_V              |H1-Introduction to Industry 4.0 (lecture)|20192|2019-09-17|2019-12-17|15:15|16:45|Di|wöchentlich|3.101
4600_V              |H1-Phasen des Beratungsmanagement|20192|2019-09-17|2019-12-17|15:15|16:45|Di|wöchentlich|4.004
79962_V             |H1-Unternehmensbewertung und Jahresabschlussanalyse|20192|2019-09-17|2019-12-17|13:30|15:00|Di|wöchentlich|4.009
79962_V             |H1-Unternehmensbewertung und Jahresabschlussanalyse|20192|2019-09-17|2019-12-17|11:30|13:00|Di|wöchentlich|4.009
7506                |Handelsrecht und aktuelle Rechtsentwicklung|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.015
7504                |Instrumente der Personalführung|20192|2019-09-17|2019-10-29|15:15|16:45|Di|wöchentlich|4.006
6597                |International Expansion of Tourism Enterprises (ITM)|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.007
6596                |International Sustainable Tourism (ITM)|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|4.112
7520                |Investition|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.016
7520                |Investition|20192|2019-09-17|\N|13:30|15:00|Di|wöchentlich|4.006
7520                |Investition|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|4.006
\N|Konferenzraum_FB_VW|20192|2019-09-17|2019-09-17|17:00|18:00|Di|Einzeltermin|D106
5620                |Konsumentenmotive ( WERBG UND KONSUM)|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|4.106
7935                |Kosten- und Leistungsrechnung|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|4.003
7935                |Kosten- und Leistungsrechnung|20192|2019-09-17|\N|15:15|16:45|Di|wöchentlich|4.005
\N|kowalsky|20192|2019-09-17|2019-09-17|08:00|18:00|Di|Einzeltermin|4.110
6706                |Kulturtourismus|20192|2019-09-17|\N|13:30|15:00|Di|wöchentlich|4.112
79933               |Management von Logistiksystemen (LOG)|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|4.010
2950                |Marketing|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|HS C
2950                |Marketing|20192|2019-09-17|\N|13:30|15:00|Di|wöchentlich|4.102
1104                |Organisation|20192|2019-09-17|\N|13:30|15:00|Di|wöchentlich|4.002
1104                |Organisation|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|4.001
1104                |Organisation|20192|2019-09-17|\N|15:15|16:45|Di|wöchentlich|4.002
10267               |Personalmanagement|20192|2019-09-17|\N|11:45|13:15|Di|wöchentlich|D101
10267               |Personalmanagement|20192|2019-09-17|\N|15:30|17:00|Di|wöchentlich|N110
7505                |Personalmanagement|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.002
6505                |Personal Tourismus|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|4.002
4600                |Phasen des Beratungsmanagements (CONS)|20192|2019-09-17|\N|15:15|16:45|Di|wöchentlich|4.004
10295               |Polizei- und Ordnungsrecht|20192|2019-09-17|\N|13:45|15:15|Di|wöchentlich|N113
1278                |Präsentationstechniken+Teamarbeit|20192|2019-09-17|\N|17:00|18:30|Di|wöchentlich|2.406
1277                |Präsentation und Moderation|20192|2019-09-17|\N|15:15|16:45|Di|wöchentlich|2.306
1273                |Programmierung 1|20192|2019-09-17|2019-09-17|08:00|09:30|Di|Einzeltermin|9.129
1273                |Programmierung 1|20192|2019-09-17|2019-09-17|08:00|09:30|Di|Einzeltermin|9.129
406                 |Quantative Marktforschung|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.108
